   0.0000      0.11187E+09  0.38787E+08  0.32263E+09   0.0000    
  0.11574E-04  0.20468E+09  0.91862E+08  0.45607E+09   0.0000    
  0.23148E-04  0.17489E+09  0.96574E+08  0.31671E+09   0.0000    
  0.34722E-04  0.12695E+09  0.67676E+08  0.23812E+09   0.0000    
  0.46296E-04  0.93552E+08  0.49733E+08  0.17598E+09   0.0000    
  0.57870E-04  0.42520E+08  0.22272E+08  0.81176E+08   0.0000    
  0.69444E-04  0.91145E+07  0.16058E+07  0.51734E+08   0.0000    
  0.81019E-04   24070.       6286.2       92168.       0.0000    
  0.92593E-04   10913.       4433.6       26860.       0.0000    
  0.10417E-03   8938.1       4307.4       18547.       0.0000    
  0.11574E-03   7830.2       3470.1       17669.       0.0000    
  0.12731E-03   5790.2       3776.8       8876.8       0.0000    
  0.13889E-03   3912.4       2135.6       7167.5       0.0000    
  0.15046E-03   4364.1       2341.3       8134.8       0.0000    
  0.16204E-03   4045.6       2146.4       7625.1       0.0000    
  0.17361E-03   4339.7       2313.3       8141.5       0.0000    
  0.18519E-03   4592.8       2601.2       8109.4       0.0000    
  0.19676E-03   5220.5       1767.1       15423.       0.0000    
  0.20833E-03   4566.5       2376.4       8775.0       0.0000    
  0.21991E-03   4260.7       2526.0       7186.6       0.0000    
  0.23148E-03   2308.0       1421.0       3748.8       0.0000    
  0.24306E-03   1907.1       1176.1       3092.4       0.0000    
  0.25463E-03   1778.8       923.56       3425.9       0.0000    
  0.26620E-03   1356.8       826.82       2226.5       0.0000    
  0.27778E-03   1340.3       780.46       2301.7       0.0000    
  0.28935E-03   1150.1       282.82       4676.5       0.0000    
  0.30093E-03   1311.2       891.32       1929.0       0.0000    
  0.31250E-03   1341.2       681.43       2639.8       0.0000    
  0.32407E-03   1356.6       713.24       2580.3       0.0000    
  0.33565E-03   909.55       413.50       2000.7       0.0000    
  0.34722E-03   976.07       473.73       2011.1       0.0000    
  0.35880E-03   925.44       314.62       2722.1       0.0000    
  0.37037E-03   1000.2       644.78       1551.6       0.0000    
  0.38194E-03   1149.4       779.74       1694.3       0.0000    
  0.39352E-03   1211.0       786.75       1864.1       0.0000    
  0.40509E-03   1223.3       512.34       2920.7       0.0000    
  0.41667E-03   1299.2       854.99       1974.1       0.0000    
  0.42824E-03   1316.5       647.01       2678.8       0.0000    
